customer_id,name,age,city,email,purchase_amount,rating
C035,RAJ,31,Hyderabad,raj@gmail.com,2800,5
C036,keerthi,25,Bangalore,keerthi@gmail.com,1500,3
C037,Ajay,34, Bangalore ,ajay@gmail.com,2700,4
C038,SWATHI,30,Delhi,swathi@gmail.com,2200,5
C039,Prakash,31,Delhi,prakash@gmail.com,3300,4
C040,Nisha,27,Chennai,nisha@gmail.com,1800,3
C041,MOHAN,41, Chennai ,mohan@gmail.com,4500,5
C042,Deepa,29,Mumbai,deepa@gmail.com,2100,4
C043,Sanjana,26,Mumbai,sanjana@gmail.com,1600,3
C044,ABHISHEK,37,Hyderabad,abhishek@gmail.com,3700,5
C045,roopa,33, Hyderabad ,roopa@gmail.com,2500,4
C046,Tarun,28,Bangalore,tarun@gmail.com,1900,3
C047,MANASA,30,Bangalore,manasa@gmail.com,2300,5
C048,Krishna,36,Delhi,krishna@gmail.com,3400,4
C049,Asha,27, Delhi ,asha@gmail.com,1400,3
C050,Rajesh,43,Chennai,rajesh@gmail.com,4800,5
C051,Teju,33,Hyderabad,teju@gmail.com,2500,5
C052,rahul,28, Hyderabad ,rahul@gmail.com,1500,4
C053,Priya,29,Bangalore,priya3@gmail.com,2000,5
C054,anil,35,Hyderabad,anil2@gmail.com,3200,4
C055,SITA,31,Mumbai,sita2@gmail.com,1800,3
C056,Ravi,31,Chennai,ravi2@gmail.com,2200,5
C057,meena,27, Chennai ,meena2@gmail.com,1700,4
C058,Arjun,26,Mumbai,arjun2@gmail.com,3000,5
C059,Kiran,26,Mumbai,kiran2@gmail.com,1200,3
C060,SWATHI,30,Hyderabad,swathi2@gmail.com,2500,4
C061,Vamsi,32,Hyderabad,vamsi2@gmail.com,2800,5
C062,priya,29,Bangalore,priya4@gmail.com,1900,4
C063,Rohit,34, Bangalore ,rohit2@gmail.com,3000,5
C064,Neha,25,Delhi,neha2@gmail.com,1600,3
C065,Suresh,38,Delhi,suresh2@gmail.com,3500,5
C066,anjali,27, Delhi ,anjali2@gmail.com,1400,4
C067,Manoj,40,Hyderabad,manoj2@gmail.com,4200,5
C068,divya,28,Hyderabad,divya2@gmail.com,2100,4
C069,Karthik,33,Chennai,karthik2@gmail.com,2300,5
C070,latha,31, Chennai ,latha2@gmail.com,1800,3
C071,Arun,29,Mumbai,arun2@gmail.com,2700,4
C072,Pooja,26,Mumbai,pooja3@gmail.com,1500,5
C073,SHIVA,36,Bangalore,shiva2@gmail.com,3200,4
C074,rekha,28, Bangalore ,rekha2@gmail.com,2000,3
C075,Naveen,30,Hyderabad,naveen2@gmail.com,2600,5
C076,Priyanka,27,Hyderabad,priyanka2@gmail.com,1900,4
C077,Ramesh,42,Hyderabad,ramesh2@gmail.com,5000,5
C078,Kavya,24,Delhi,kavya2@gmail.com,1300,3
C079,Sandeep,35, Delhi ,sandeep2@gmail.com,3100,4
C080,Lakshmi,32,Chennai,lakshmi2@gmail.com,2200,5
C081,Harish,29,Chennai,harish2@gmail.com,2400,4
C082,POOJA,27, Mumbai ,pooja4@gmail.com,1700,3
C083,Vijay,39,Mumbai,vijay2@gmail.com,3900,5
C084,Sneha,28,Hyderabad,sneha2@gmail.com,2000,4
C085,Raj,31,Hyderabad,raj2@gmail.com,2800,5
C086,keerthi,25,Bangalore,keerthi2@gmail.com,1500,3
C087,Ajay,34, Bangalore ,ajay2@gmail.com,2700,4
C088,SWATHI,30,Delhi,swathi3@gmail.com,2200,5
C089,Prakash,38,Delhi,prakash2@gmail.com,3300,4
C090,Nisha,27,Chennai,nisha2@gmail.com,1800,3
C091,Mohan,41, Chennai ,mohan2@gmail.com,4500,5
C092,Deepa,29,Mumbai,deepa2@gmail.com,2100,4
C093,Sanjana,26,Mumbai,sanjana2@gmail.com,1600,3
C094,ABHISHEK,37,Hyderabad,abhishek2@gmail.com,3700,5
C095,roopa,33, Hyderabad ,roopa2@gmail.com,2500,4
C096,Tarun,28,Bangalore,tarun2@gmail.com,1900,3
C097,MANASA,30,Bangalore,manasa2@gmail.com,2300,5
C098,Krishna,36,Delhi,krishna2@gmail.com,3400,4
C099,Asha,27, Delhi ,asha2@gmail.com,1400,3
C100,Rajesh,43,Chennai,rajesh2@gmail.com,4800,5
C101,Teju,33,Hyderabad,teju@gmail.com,2500,5
C102,rahul,28, Hyderabad ,rahul3@gmail.com,1500,4
C103,Unknown,31,Chennai,emptyname@gmail.com,2200,4
C104,Anu,29,Unknown,anu@gmail.com,31,5
C105,Ravi,31,Mumbai,ravi3@gmail.com,31,31
